,会社名,対象,初年度年収
0,ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【未経験者歓迎★20代が多数活躍中】意欲重視の採用です！充実した研修があるので、経験がなくても安心して挑戦できる環境です♪,400万円～800万円
1,ジャパニアス株式会社 | 【全国に11拠点を展開】◆転勤なし◆年間休日125日◆残業月20H,【他社のオファーを受け、迷っているあなたへ！】◆何らかの開発経験をお持ちの方★Java・PHP・Python・Cの開発経験、Salesforce導入経験者は大歓迎！,250万円～350万円
2,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,【高卒以上】★*. 20代活躍中！産休・育休取得率&復職率100% .*「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪《ネイルもOK★》,250万円～350万円
3,株式会社リクルートスタッフィング | キャリアウィンク★有名＆安定企業で働ける♪在宅ワークも実施中,★*. 20代活躍中！産休・育休取得率&復職率100% .*《第二新卒・未経験歓迎》「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪,278万円～400万円
4,ALH株式会社 | 【横浜オフィス】異業種出身が9割！人で勝負するエンジニアへ！,【未経験者大歓迎！「人」・「意欲」重視の採用です】 ■高卒以上■29歳までの方(※),250万円～350万円
5,株式会社リクルートスタッフィング | 産休・育休取得率&復職率100% ◆土日祝休み♪在宅ワークも実施中,<第二新卒・既卒・未経験歓迎！>◆3日間の配属前研修あり☆頑張りがしっかり評価されるため、モチベーションもUP！あなたに合った職場で働ける♪,350万円～450万円
6,パーソルエクセルHRパートナーズ株式会社 | リモート勤務導入｜完全週休2日(土日休み)｜年休120日以上,《 来社不要！電話面談でOK 》★経理未経験…オフィスワークデビューもOK！意欲重視の採用！★経験者…簿記資格やExcelのスキルを活かしたい方大歓迎,427万円～582万円
7,株式会社YAZAWA LUMBER | ★フルフレックス・テレワーク導入／月9日休／資格取得支援あり,【経験者優遇】要普通免許（AT限定可）／施工管理経験（ジャンル不問）もしくは住宅関連のアフターメンテナンス経験をお持ちの方,420万円～700万円
8,日本住宅流通株式会社 | 「東証一部上場・大和ハウス」が100％出資★賞与7.6か月(昨年度),【幅広い方にチャンスがあります！】◆「不動産営業の経験（ジャンル不問）」または「法人営業の経験（業界不問）」をお持ちの方 ☆20代～30代活躍中,400万円～800万円
9,株式会社野村総合研究所 | （NRI）東証一部上場★海外研修など豊富な研修制度あり,【経験の浅い方・第二新卒もOK】◎大卒以上 ★大規模システム開発の経験や、AI・IoT・クラウド・サーバレスに関する経験・知識をお持ちの方は大歓迎！,400万円～840万円
